Objekt/lägenhet;Våningsplan;Lantmäterinummer;Area (m2);Rent;Rooms
2120-0001;(Suterrängvåning) plan 01;901;61 m2;11350;2
2120-0002;(Entrévåning) plan 02;1001;34 m2;7700;1
2120-0003;(Entrévåning) plan 02;1002;105 m2;17050;5
2120-0004;(Entrévåning) plan 02;1003;34 m2;7700;1
2120-0005;(Entrévåning) plan 02;1004;34 m2;7700;1
2120-0006;(Entrévåning) plan 02;1005;105 m2;17050;5
2120-0007;(Entrévåning) plan 02;1006;34 m2;7700;1
2120-0008;(Våning 1) plan 03;1101;45 m2;9275;2
2120-0009;(Våning 1) plan 03;1102;88 m2;14825;4
2120-0010;(Våning 1) plan 03;1103;50 m2;9925;2
2120-0011;(Våning 1) plan 03;1104;74 m2;12925;3
2120-0012;(Våning 1) plan 03;1105;64 m2;11325;2
2120-0013;(Våning 1) plan 03;1106;45 m2;9275;2
2120-0014;(Våning 2) plan 04;1201;45 m2;9325;2
2120-0015;(Våning 2) plan 04;1202;88 m2;14875;4
2120-0016;(Våning 2) plan 04;1203;50 m2;9975;2
2120-0017;(Våning 2) plan 04;1204;74 m2;13025;3
2120-0018;(Våning 2) plan 04;1205;64 m2;11375;2
2120-0019;(Våning 2) plan 04;1206;45 m2;9325;2
2120-0020;(Våning 3) plan 05;1301;45 m2;9375;2
2120-0021;(Våning 3) plan 05;1302;88 m2;14925;4
2120-0022;(Våning 3) plan 05;1303;50 m2;11200;2
2120-0023;(Våning 3) plan 05;1304;74 m2;13025;3
2120-0024;(Våning 3) plan 05;1305;64 m2;11425;2
2120-0025;(Våning 3) plan 05;1306;45 m2;9425;2
2120-0026;(Våning 4) plan 06;1401;45 m2;9475;2
2120-0027;(Våning 4) plan 06;1402;88 m2;14975;4
2120-0028;(Våning 4) plan 06;1403;50 m2;10075;2
2120-0029;(Våning 4) plan 06;1404;74 m2;13075;3
2120-0030;(Våning 4) plan 06;1405;64 m2;11475;2
2120-0031;(Våning 4) plan 06;1406;45 m2;9475;2
